family,residualCount,share,reason,usefulContext,noUsefulContext,topTokens,activeAnalogs,topActiveTargets,groupPossible,autoReadyPossible,irreducible,examples
Car-care consumables without stable target,10,0.0086,active_analogs_conflict_or_no_destination,1,9,бумага:5 | наждачная:5 | антисептик:2 | аэрозоль:2 | вакс:2 | всех:2 | доктор:2 | поверхностей:2 | типов:2 | аппликатор:1,178,aksessuary/avtohimiya:72 | filtry-i-masla/zhidkosti:44 | aksessuary/prochie-aksessuary:31 | filtry-i-masla/smazki:18 | aksessuary/instrumenty:5 | dvigatel-i-transmissiya/toplivnaya-sistema:2 | kuzov-i-optika/podkrylki-i-bryzgoviki:2 | dvigatel-i-transmissiya/detali-dvigatelya:1,0,0,10,"А-00616 Аппликатор ""Доктор ВАКС"" | А-02106 DW8677 Тонкая ткань для полировки кузова | А-00167 Наждачная бумага №220,240,280,400,600,800, | А-00168 Наждачная бумага N 2000 | А-00617 Губка ""Доктор ВАКС"" DW8611, 8612R | А-00627 Наждачная бумага № 80, №100, №120,№150 | А-01222 Бумага наждачная SIA-230*280 по сухому | А-01428 Бумага наждачная полоска зеленая Р80 3М"
Tools and road equipment without stable target,9,0.0078,active_analogs_conflict_or_no_destination,2,7,лопата:4 | снега:4 | кг-:2 | струна:2 | автодело:1 | автомобильная:1 | большая:1 | витязь:1 | дорожный:1 | ключ:1,754,aksessuary/instrumenty:549 | aksessuary/shiny-i-diski:50 | dvigatel-i-transmissiya/detali-dvigatelya:29 | filtry-i-masla/maslyanye-filtry:22 | kuzov-i-optika/zamki-i-ruchki:15 | dvigatel-i-transmissiya/remni:7 | filtry-i-masla/masla:7 | dvigatel-i-transmissiya/toplivnaya-sistema:6,0,0,9,"А-01292 Нож дорожный | А-02377 Струна ""Автодело"" 40686, 2 шт | КГ-00287 Насадка на шланг подкачки | А-01146 Лопата для снега (малая) | А-01691 Струна для стёкол 1 м | А-01766 Лопата для снега большая | А-01834 Лопата для уборки снега ""Витязь"" | А-02035 Лопата автомобильная для снега"
Miscellaneous universal non-catalog goods,6,0.0052,no_allowed_target_current_taxonomy,0,6,аудиоколонка:1 | грызунов:1 | детей:1 | магнитная:1 | мелочей:1 | музыкальная:1 | мышь:1 | наруж:1 | нива-тайга:1 | отпугиватель:1,37,kuzov-i-optika/fonari:14 | kuzov-i-optika/reshetki:9 | kuzov-i-optika/fary:3 | aksessuary/avtohimiya:2 | aksessuary/prochie-aksessuary:2 | filtry-i-masla/maslyanye-filtry:2 | kuzov-i-optika/zamki-i-ruchki:2 | dvigatel-i-transmissiya/kpp:1,0,0,6,"А-00548 Тюнинг Нива-Тайга | А-00946 Мышь музыкальная | А-01613 Тарелочка магнитная для мелочей | А-01791 Отпугиватель грызунов 2206 | А-02144 Аудиоколонка MIVO 09 | А-00009 Табличка (пластик) ""Перевозка детей"" наруж"
Electrical/consumer devices without auto context,5,0.0043,technical_insufficient_data,0,5,разветвитель:2 | тепловентилятор:2 | автомобильный:1 | газовая:1 | двойной:1 | кото:1 | маленькая:1 | плитка:1 | реж.:1 | те-:1,27,elektrika/prochaya-elektrika:9 | aksessuary/prochie-aksessuary:6 | aksessuary/instrumenty:5 | elektrika/provodka:4 | dvigatel-i-transmissiya/detali-dvigatelya:2 | podveska/rulevye-nakonechniki:1,0,0,5,"А-00543 ""КОТО"" Разветвитель двойной 201 | А-01460 Тепловентилятор автомобильный AVS Comfort ТЕ-310 12В (2 реж.) 150W | А-01522 KOTO EFB-211 Тепловентилятор | А-01560 Плитка газовая (маленькая) | А-01630 Разветвитель EPUTUS"
Tube/line mounts without system,5,0.0043,name_lacks_destination_context,0,5,гусек:5 | длинный:2 | короткий:2 | волга:1 | распылителя:1,2,dvigatel-i-transmissiya/detali-dvigatelya:1 | dvigatel-i-transmissiya/nasosy:1,0,0,5,Г-00064 Гусёк 31029 короткий | Г-00065 Гусёк 2410 длинный | Г-00090 Гусек короткий Волга 3110 | Г-00094 Гусек 3102 длинный | К-00181 Гусёк распылителя 2101-07
Safety/reflective/emergency goods without stable target,4,0.0035,no_allowed_target_current_taxonomy,0,4,лента:3 | светоотражающая:3 | браслеты:1 | желтая:1 | пешеходов:1 | светоотражающие:1,30,aksessuary/bezopasnost:20 | kuzov-i-optika/fonari:4 | aksessuary/instrumenty:2 | aksessuary/avtohimiya:1 | aksessuary/ramki-nomerov:1 | kuzov-i-optika/kuzovnye-detali:1 | kuzov-i-optika/podkrylki-i-bryzgoviki:1,0,0,4,А-01583 Браслеты для пешеходов светоотражающие | А-00834 Светоотражающая лента | А-01922 Лента светоотражающая 1 м | А-01949 Лента светоотражающая жёлтая (1 м)
Audio/radio/media accessories without stable target,3,0.0026,active_analogs_conflict_or_no_destination,0,3,флешка:2 | банка:1 | воспроизв.:1 | радио+флешка:1 | usb:1,73,aksessuary/prochie-aksessuary:62 | kuzov-i-optika/kuzovnye-detali:9 | elektrika/prochaya-elektrika:1 | filtry-i-masla/maslyanye-filtry:1,0,0,3,"А-01332 ""Банка"" радио+флешка (воспроизв.) | А-01650 Флешка 8 Гб | А-01687 USB флешка 32 Гб"
Fluids/adhesives/chemicals without stable target,2,0.0017,active_analogs_conflict_or_no_destination,0,2,армированная:2 | клейкая:2 | лента:2 | avs:2 | мм*25мм:1,427,filtry-i-masla/smazki:132 | filtry-i-masla/zhidkosti:129 | aksessuary/avtohimiya:117 | elektrika/prochaya-elektrika:14 | aksessuary/instrumenty:5 | tormoznaya-sistema/supporty:5 | kuzov-i-optika/kuzovnye-detali:4 | dvigatel-i-transmissiya/toplivnaya-sistema:3,0,0,2,А-00612 Лента клейкая армированная AVS 48мм * 10мм | А-02264 Лента клейкая армированная AVS 48мм*25мм
Fragrance/air-freshener goods without stable target,1,0.0009,active_analogs_conflict_or_no_destination,0,1,автопарфюм:1,0,,0,0,1,А-00723 Автопарфюм 7 мл
Fuel/air intake parts with partial context,1,0.0009,potentially_automatable_future_context_rules,0,1,воздухоочистителя:1 | планка:1,198,dvigatel-i-transmissiya/toplivnaya-sistema:134 | dvigatel-i-transmissiya/prokladki:23 | aksessuary/avtohimiya:15 | elektrika/datchiki:8 | dvigatel-i-transmissiya/detali-dvigatelya:6 | aksessuary/instrumenty:3 | elektrika/prochaya-elektrika:3 | podveska/pruzhiny:2,0,0,1,К-00280 Планка воздухоочистителя 2101-07
